revision,name,niveau,date,youtube,pdf,pdf_link
1,Seven,1,23/01/2019,,,
0,Seven,1,16/01/2019,https://www.youtube.com/watch?v=e5xFZzT_xO0&t=10s,seven.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905396/dml-laille/seed_danse/seven.pdf
1,Wild horse,1,16/01/2019,,,
1,Just a burning man,1,16/01/2019,,,
1,Celtic Duo,1,16/01/2019,,,
0,Just a burning man,1,16/01/2019,https://www.youtube.com/watch?v=vZPHzqQt8qw,just_a_burning_man.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905421/dml-laille/seed_danse/just_a_burning_man.pdf
0,Wild horse,1,09/01/2019,https://www.youtube.com/watch?v=kgZVQbZu-nI,wilde_horse.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905403/dml-laille/seed_danse/wilde_horse.pdf
1,Locash,1,09/01/2019,,,
1,Must be the whiskey,1,09/01/2019,,,
1,Damn,1,09/01/2019,,,
1,Let's go there,1,09/01/2019,,,
2,Must be the whiskey,1,12/12/2018,,,
1,Damn,1,12/12/2018,,,
1,Let's go there,1,12/12/2018,,,
1,8th day,1,12/12/2018,,,
1,Cards on the table,1,12/12/2018,,,
1,Woman amen,1,12/12/2018,,,
2,Snap,1,04/04/2018,,,
1,Ghost town,1,04/04/2018,,,
1,Must be the whiskey,1,04/04/2018,,,
1,Damn,1,04/04/2018,,,
1,Locash,1,04/04/2018,,,
1,Soldier,1,04/04/2018,,,
1,Insecure,1,04/04/2018,,,
0,Must be the whiskey,1,28/11/2018,https://www.youtube.com/watch?v=d_w6YLNsGWk,must_be_the_whiskey.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905431/dml-laille/seed_danse/must_be_the_whiskey.pdf
1,Celtic Duo,1,28/11/2018,,,
1,Damn,1,28/11/2018,,,
1,Bush party,1,28/11/2018,,,
1,Just a burning man,1,28/11/2018,,,
0,Damn,1,21/11/2018,https://www.youtube.com/watch?v=9E2JR9k_SDU,Damn.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905417/dml-laille/seed_danse/Damn.pdf
1,Celtic Duo,1,21/11/2018,,,
1,Locash,1,21/11/2018,,,
1,Gypsy queen,1,21/11/2018,,,
1,Bring down the house,1,21/11/2018,,,
1,Clear Isabel,1,21/11/2018,,,
0,Locash,1,14/11/2018,https://www.youtube.com/watch?v=a_rhN79oXcE&fbclid=IwAR2FFq1FFx4d-8CRjSJxUcK3nRC83jPU8TC_RQT-2QugCJj8MlDQE8UN-Ws,locash.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905427/dml-laille/seed_danse/locash.pdf
1,Sweet hurt,1,14/11/2018,,,
1,Champagne promise,1,14/11/2018,,,
1,8th day,1,14/11/2018,,,
1,Dancing around it,1,14/11/2018,,,
1,Celtic Duo,1,14/11/2018,,,
1,Cards on the table,1,14/11/2018,,,
1,Day of the dead,1,14/11/2018,,,
2,Eyes on you,1,07/11/2018,,,
1,I got this too,1,07/11/2018,,,
1,I be u be,1,07/11/2018,,,
1,Chasing down a good time,1,07/11/2018,,,
1,Open your eyes,1,07/11/2018,,,
1,Ouzo and black,1,07/11/2018,,,
1,Circle of crows,1,07/11/2018,,,
0,Circle of crows,1,31/10/2018,https://www.youtube.com/watch?v=GiS2QgibMU8,Circle_of_crows.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905413/dml-laille/seed_danse/Circle_of_crows.pdf
1,Eyes on you,1,31/10/2018,,,
1,Champagne promise,1,31/10/2018,,,
1,Woman amen,1,31/10/2018,,,
1,Lonely drum,1,31/10/2018,,,
1,Let's go there,1,31/10/2018,,,
0,Eyes on you,1,17/10/2018,https://www.youtube.com/watch?v=1XzYeXkmsos,eyes_on_you.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905420/dml-laille/seed_danse/eyes_on_you.pdf
1,Champagne promise,1,17/10/2018,,,
1,Galway girls,1,17/10/2018,,,
1,Drunk in heels,1,17/10/2018,,,
0,Champagne promise,1,10/10/2018,https://www.youtube.com/watch?v=54i2I9RiGUk&t=174s,Champagne_promise.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905415/dml-laille/seed_danse/Champagne_promise.pdf
1,Celtic Duo,1,10/10/2018,,,
1,8th day,1,10/10/2018,,,
1,Cards on the table,1,10/10/2018,,,
1,Story,1,10/10/2018,,,
1,Let's go there,1,10/10/2018,,,
0,Celtic Duo,1,03/10/2018,https://www.youtube.com/watch?v=CZyUUwqHrig&t=288s,celtic_duo.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905409/dml-laille/seed_danse/celtic_duo.pdf
1,Day of the dead,1,03/10/2018,,,
1,Ghost town,1,03/10/2018,,,
1,Cards on the table,1,03/10/2018,,,
1,Story,1,03/10/2018,,,
1,Let's go there,1,03/10/2018,,,
0,8th day,1,26/09/2018,https://www.youtube.com/watch?v=xGDTig4b_rY,8th_day.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905393/dml-laille/seed_danse/8th_day.pdf
0,Ghost town,1,26/06/2018,https://www.youtube.com/watch?v=tdh7F0pQrrM&t=157s,ghost-town.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905417/dml-laille/seed_danse/ghost-town.pdf
0,Story,1,19/09/2018,https://www.youtube.com/watch?v=s2Ww88MqBK0,story.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905396/dml-laille/seed_danse/story.pdf
2,Indian sound,1,12/09/2018,,,
1,I got a woman,1,12/09/2018,,,
1,Soldier,1,12/09/2018,,,
1,Roots,1,12/09/2018,,,
1,Day of the dead,1,12/09/2018,,,
2,See ya Cecilia ,2,25/06/2019,,,
1,Those were the nights,2,25/06/2019,,,
1,Born to love you,2,25/06/2019,,,
1,Tightrope,2,25/06/2019,,,
2,Shadows,2,19/06/2019,,,
1,Those were the nights,2,19/06/2019,,,
1,Majestic,2,19/06/2019,,,
1,White whisky,2,19/06/2019,,,
1,Perfect place,2,19/06/2019,,,
1,See ya Cecilia,2,19/06/2019,,,
2,Shadows,2,12/06/2019,,,
1,Born to love you,2,12/06/2019,,,
2,Shadows,2,05/06/2019,,,
1,All day all night,2,05/06/2019,,,
1,Long live the nights,2,05/06/2019,,,
0,Shadows,2,29/05/2019,https://www.youtube.com/watch?v=wN9KM1FewXU&t=2s%22,shadows.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905393/dml-laille/seed_danse/shadows.pdf
2,All day all night,2,29/05/2019,,,
1,Long live the nights,2,29/05/2019,,,
1,Born to love you,2,29/05/2019,,,
0,All day all night,2,22/05/2019,https://www.youtube.com/watch?v=HQScLVnJUes,all_day_all_night.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905394/dml-laille/seed_danse/all_day_all_night.pdf
1,Long live the nights,2,22/05/2019,,,
1,Chasin' tail lights,2,22/05/2019,,,
1,Bound ta git down,2,22/05/2019,,,
2,Long live the nights,2,15/05/2019,https://www.youtube.com/watch?v=RkiUPLMTv6M,long live the nights.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905430/dml-laille/seed_danse/long_live_the_nights.pdf
1,Kinda like now,2,15/05/2019,,,
1,Those were the nights,2,15/05/2019,,,
1,See ya Cecilia,2,15/05/2019,,,
1,Master of tides,2,15/05/2019,,,
2,See ya Cecilia,2,10/05/2019,,,
1,She's with me,2,10/05/2019,,,
1,Perfect place,2,10/05/2019,,,
1,Thigtrope,2,10/05/2019,,,
1,Master of tides,2,10/05/2019,,,
0,Bound ta git down,2,10/04/2019,https://www.youtube.com/watch?v=QQy2cbblsm4,bound_ta_git_down.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905415/dml-laille/seed_danse/bound_ta_git_down.pdf
0,Those were the nights,2,10/04/2019,https://www.youtube.com/watch?v=GF1XgGgzhrk&t=164s,those_were_the_nights.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905406/dml-laille/seed_danse/those_were_the_nights.pdf
0,Perfect place,2,03/04/2019,https://www.youtube.com/watch?v=OzvDU_Ph4qc,perfect_place.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905436/dml-laille/seed_danse/perfect_place.pdf
0,Farmers wife,2,03/04/2019,https://www.youtube.com/watch?v=30xz9omD-L0,farmers_wife.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905417/dml-laille/seed_danse/farmers_wife.pdf
0,Nothing but you,2,27/03/2019,https://www.youtube.com/watch?v=69baE1HVi2k,nothing_but_you.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905435/dml-laille/seed_danse/nothing_but_you.pdf
2,Hearts on fire,2,27/03/2019,,,
1,Cowgirls,2,27/03/2019,,,
2,Hearts on fire,2,13/03/2019,,,
1,Chasin' tail lights,2,13/03/2019,,,
1,Girl of the summer,2,13/03/2019,,,
1,Majestic,2,13/03/2019,,,
0,Hearts on fire,2,06/03/2019,https://www.youtube.com/watch?v=7akLkHTcXLQ&t=19s,hearts_on_fire.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905420/dml-laille/seed_danse/hearts_on_fire.pdf
2,Chasin' tail lights,2,06/03/2019,,,
1,Born to love you,2,06/03/2019,,,
1,White whisky,2,06/03/2019,,,
0,Chasin' tail lights,2,27/02/2019,https://www.youtube.com/watch?v=-bbZlpk0_W8,chasin_tail_lights.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905412/dml-laille/seed_danse/chasin_tail_lights.pdf
2,Cowgirls,2,27/02/2019,,,
1,Born to love you,2,27/02/2019,,,
1,White whisky,2,27/02/2019,,,
0,Cowgirls,2,06/02/2019,https://www.youtube.com/watch?v=WMvZsANh1aY,cowgirls.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905418/dml-laille/seed_danse/cowgirls.pdf
2,White whisky,2,06/02/2019,,,
1,Kinda like now,2,06/02/2019,,,
1,Majestic,2,06/02/2019,,,
1,Girl of the summer,2,06/02/2019,,,
0,Girl of the summer,2,29/01/2019,,girl_of_the_summer.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905420/dml-laille/seed_danse/girl_of_the_summer.pdf
2,White whisky,2,29/01/2019,,,
1,Kinda like now,2,29/01/2019,,,
1,Majestic,2,29/01/2019,,,
2,Kinda like now,2,23/01/2019,,,
1,Majestic,2,23/01/2019,,,
0,Majestic,2,16/01/2019,https://www.youtube.com/watch?v=XRGrnDZEhFw&t=26s,Majestic.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905434/dml-laille/seed_danse/Majestic.pdf
0,Kinda like now,2,16/01/2019,https://www.youtube.com/watch?v=O41XYXuIc7E,Kinda_like_now.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905428/dml-laille/seed_danse/Kinda_like_now.pdf
0,White whisky,2,09/01/2019,https://www.youtube.com/watch?v=tcDR5ONoVCQ,white_whisky.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905405/dml-laille/seed_danse/white_whisky.pdf
2,Born to love you,2,09/01/2019,,,
1,Think your present,2,09/01/2019,,,
2,Born to love you,2,12/12/2018,,,
1,Boots,2,12/12/2018,,,
1,See ya Cecilia,2,12/12/2018,,,
1,Think your present,2,12/12/2018,,,
1,All the king horses,2,12/12/2018,,,
0,Born to love you,2,04/12/2018,https://www.youtube.com/watch?v=RxGPHl3vjrw,born_to_love_you.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905406/dml-laille/seed_danse/born_to_love_you.pdf
2,Party,2,04/12/2018,,,
1,She's with me,2,04/12/2018,,,
0,She's with me,2,28/11/2018,ttps://www.youtube.com/watch?v=5F2mhdfhi08,shes_with_me.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905396/dml-laille/seed_danse/shes_with_me.pdf
2,Party,2,28/11/2018,,,
1,Tightrope,2,28/11/2018,,,
0,Party,2,21/11/2018,https://www.youtube.com/watch?v=mVruWq0BOsE,party.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905437/dml-laille/seed_danse/party.pdf
1,Master of tides,2,21/11/2018,,,
1,Tightrope,2,21/11/2018,,,
0,Tightrope,2,14/11/2018,https://www.youtube.com/watch?v=HA2pldwocsQ&t=411s,tightrope.pdf,
2,See ya Cecilia,2,14/11/2018,,,
2,See ya Cecilia,2,07/11/2018,,,
1,Boots,2,07/11/2018,,,
1,All the king horses,2,07/11/2018,,,
1,Think your present,2,07/11/2018,,,
1,Master of tides,2,07/11/2018,,,
2,See ya Cecilia,2,31/10/2018,,,
1,Boots,2,31/10/2018,,,
0,Boots,2,17/10/2018,https://www.youtube.com/watch?v=TwEgu3uHHjw,Boots.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905409/dml-laille/seed_danse/Boots.pdf
0,See ya Cecilia,2,17/10/2018,https://www.youtube.com/watch?v=BDfcoRFVlcg,See_ya_Cecilia.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905441/dml-laille/seed_danse/See_ya_Cecilia.pdf
0,Think your present,2,10/10/2018,https://www.youtube.com/watch?v=uv2qOZuGt74,Think_your_present.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905400/dml-laille/seed_danse/Think_your_present.pdf
2,All the king horses,2,10/10/2018,,,
1,Master of tides,2,10/10/2018,,,
0,All the king horses,2,03/10/2018,https://www.youtube.com/watch?v=aD4DYB3mkOk,all_the_kings_horse.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905402/dml-laille/seed_danse/all_the_kings_horse.pdf
1,Master of tides,2,03/10/2018,,,
0,Master of tides,2,26/09/2018,ttps://www.youtube.com/watch?v=0lSlgnhJrZc,master_of_tides.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905435/dml-laille/seed_danse/master_of_tides.pdf
0,Cards on the table,2,19/09/2018,https://www.youtube.com/watch?v=KGiepHlsOuc,cards_on_the_the_table.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905409/dml-laille/seed_danse/cards_on_the_the_table.pdf
2,Woman amen,2,19/09/2018,,,
1,Another crazy year,2,19/09/2018,,,
0,Let's go there,2,12/09/2018,https://www.youtube.com/watch?v=mVKG2n4FCRU,Lets_go_there.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905425/dml-laille/seed_danse/Lets_go_there.pdf
2,I got this too,2,12/09/2018,,,
1,Open your eyes,2,12/09/2018,,,
1,Female,2,12/09/2018,,,
1,Home we'll go,2,12/09/2018,,,
